time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543543361214,10,2,41,0,-2.0685902;3.3327289;10.448297,-0.21121974;0.5226737;0.54367006,3.75;-39.25;-27.625,1021.76416,5.0,3464.0, , , , , 
1543543361223,10,2,41,0,-0.641646;3.9073372;7.1730285,-0.21121974;0.5226737;0.54367006,-19.75;-4.3125;-46.375,1021.76416,5.0,3971.0, , , , , 
1543543361233,10,2,41,0,-0.8523358;3.9935284;7.575254,-0.21121974;0.5226737;0.54367006,-19.0625;-4.375;-45.625,1021.7578,5.0,4840.0, , , ,37 00:17:7b:0f:59:f8;-77 00:17:7b:fc:41:80;-81 00:17:7b:0f:49:a8;-72 34:96:72:68:ce:f4;-75 00:17:7b:0f:44:a8;-77 00:34:cb:54:cc:db;-64 00:34:cb:64:27:45;-83 00:34:cb:64:29:93;-66 4c:5e:0c:dc:6d:63;-83 2c:b2:1a:3d:30:d5;-78 00:1f:7a:5d:f4:98;-71 cc:81:da:0d:4b:90;-84 2c:b2:1a:db:79:69;-83 22:6b:e7:c1:51:15;-87 2c:b2:1a:ff:c9:09;-69 00:1f:7a:5d:f4:99;-68 00:34:cb:54:cc:da;-53 00:34:cb:68:d7:99;-56 d0:fa:1d:b0:0b:55;-64 70:65:82:32:ab:43;-65 70:65:82:32:ab:42;-67 c8:94:bb:60:29:30;-65 04:25:c5:23:20:ac;-57 04:25:c5:23:02:9c;-61 38:22:d6:d9:26:10;-63 00:1b:2f:5b:57:aa;-67 38:22:d6:d8:d2:f2;-55 38:22:d6:d8:d2:f0;-50 38:22:d6:d9:26:12;-62 2e:b2:1a:df:c9:09;-65 00:17:7b:0f:44:a0;-60 00:1f:7a:5d:f4:90;-60 00:1f:7a:5d:f4:91;-59 34:96:72:68:ce:f2;-69 38:22:d6:d9:55:50;-69 2c:b2:1a:3e:19:2e;-53 00:34:cb:68:d9:ed;-57, 
1543543361243,10,2,41,0,-1.2258313;4.0318356;8.226477,-0.21121974;0.5226737;0.54367006,-19.0625;-4.375;-45.625,1021.7578,5.0,4840.0, , , , , 
1543543361253,10,2,41,0,-1.6567876;4.003105;9.337387,-0.21121974;0.5226737;0.54367006,-19.0;-5.875;-47.125,1021.7578,5.0,4840.0, , , , ,0
1543543361263,10,2,41,0,-1.9153614;3.9360676;10.04607,-0.21121974;0.5226737;0.54367006,-18.3125;-4.375;-45.625,1021.7578,5.0,4840.0, , , , , 
1543543361273,10,2,41,0,-1.9057846;3.9456444;10.103531,-0.21121974;0.5226737;0.54367006,-18.3125;-4.375;-45.625,1021.7578,5.0,4840.0, , , , , 
1543543361283,10,2,41,0,-1.8483237;3.9360676;9.9790325,-0.21121974;0.5226737;0.54367006,-18.3125;-4.375;-46.375,1021.7578,5.0,4840.0, , , , , 
1543543361293,10,2,41,0,-1.5227122;3.7349546;9.56723,-0.21121974;0.5226737;0.54367006,-16.9375;-2.9375;-46.375,1021.7578,5.0,4840.0, , , , , 
1543543361304,10,2,41,0,-1.3120226;3.5817258;9.299079,-0.21121974;0.5226737;0.54367006,-18.375;-3.625;-46.375,1021.7578,5.0,4840.0, , , , , 
1543543361314,10,2,41,0,-1.283292;3.620033;9.174581,-0.21121974;0.5226737;0.54367006,-17.625;-3.625;-47.125,1021.7578,5.0,4840.0, , , , , 
1543543361323,10,2,41,0,-1.2737153;3.7349546;8.944737,-0.21121974;0.5226737;0.54367006,-17.625;-3.625;-45.625,1021.7578,5.0,4840.0, , , , , 
1543543361333,10,2,41,0,-1.4077905;3.821146;8.925584,-0.21121974;0.5226737;0.54367006,-16.9375;-2.875;-47.875,1021.7656,5.0,4840.0, , , , , 
1543543361344,10,2,41,0,-1.3982137;3.8307228;8.916007,-0.21121974;0.5226737;0.54367006,-16.9375;-2.875;-47.875,1021.7656,5.0,4840.0, , , , , 
1543543361354,10,2,41,0,-1.3311762;3.8402996;8.695741,-0.21121974;0.5226737;0.54367006,-19.0625;-2.875;-45.6875,1021.7656,5.0,4840.0, , , , , 
1543543361365,10,2,41,0,-1.3215994;3.86903;8.6095495,-0.21121974;0.5226737;0.54367006,-17.75;-0.625;-47.125,1021.7656,5.0,4840.0, , , , , 
1543543361374,10,2,41,0,-1.3694834;3.86903;8.7053175,-0.21121974;0.5226737;0.54367006,-18.4375;-0.625;-46.375,1021.7656,5.0,4840.0, , , , , 
1543543361385,10,2,41,0,-1.3599066;3.7732618;8.762778,-0.21121974;0.5226737;0.54367006,-17.0;-2.1875;-46.375,1021.7656,5.0,4840.0, , , , , 
1543543361394,10,2,41,0,-1.3215994;3.715801;8.6574335,-0.21121974;0.5226737;0.54367006,-17.0;-0.6875;-46.375,1021.7656,5.0,4840.0, , , , , 
1543543361405,10,2,41,0,-1.3120226;3.7349546;8.6095495,-0.21121974;0.5226737;0.54367006,-17.0;-0.6875;-46.375,1021.7656,5.0,4840.0, , , , , 
1543543361416,10,2,41,0,-1.3694834;3.7541082;8.552089,-0.21121974;0.5226737;0.54367006,-19.125;-0.625;-48.625,1021.7656,5.0,4840.0, , , , , 
1543543361425,10,2,41,0,-1.3024458;3.6966474;8.552089,-0.21121974;0.5226737;0.54367006,-18.4375;0.125;-47.125,1021.7656,5.0,4840.0, , , , , 
1543543361437,10,2,41,0,-1.1779473;3.6583402;8.437167,-0.04872959;1.0553483;0.93462384,-19.875;0.125;-47.875,1021.75244,5.0,4840.0, , , , , 
1543543361446,10,2,41,0,-1.1109096;3.7445314;8.1881695,-0.04872959;1.0553483;0.93462384,-17.6875;-1.375;-48.625,1021.75244,5.0,4840.0, , , , , 
1543543361456,10,2,41,0,-1.2449849;3.763685;8.1881695,-0.04872959;1.0553483;0.93462384,-17.0;-0.6875;-47.875,1021.75244,5.0,4840.0, , , , , 
1543543361466,10,2,41,0,-1.283292;3.8307228;8.236053,-0.04872959;1.0553483;0.93462384,-17.75;0.125;-47.875,1021.75244,5.0,4840.0, , , , , 
1543543361476,10,2,41,0,-1.2737153;3.8402996;8.379706,-0.04872959;1.0553483;0.93462384,-17.6875;-1.375;-47.125,1021.75244,5.0,4840.0, , , , , 
1543543361486,10,2,41,0,-1.2162545;3.6487634;8.599973,-0.04872959;1.0553483;0.93462384,-17.75;0.125;-47.875,1021.75244,5.0,4840.0, , , , , 
1543543361497,10,2,41,0,-1.13964;3.4284968;9.030929,-0.04872959;1.0553483;0.93462384,-18.4375;0.875;-45.6875,1021.75244,5.0,4840.0, , , , , 
1543543361507,10,2,41,0,-1.3024458;3.5051112;9.184157,-0.24787165;-0.451028;0.7049385,-19.125;0.125;-45.6875,1021.75244,5.0,4840.0, , , , , 
1543543361517,10,2,41,0,-1.292869;3.3614593;9.165004,-0.25031513;-0.527997;0.65240407,-16.375;1.5625;-46.375,1021.75244,5.0,4840.0, , , , , 
1543543361527,10,2,41,0,-1.2258313;3.0358477;9.069236,-0.21977186;-0.6660525;0.61086524,-17.75;0.875;-47.875,1021.7583,5.0,4840.0, , , , , 
1543543361537,10,2,41,0,-0.91937345;2.7868507;8.494628,-0.17212437;-0.75035197;0.548557,-19.875;1.625;-45.6875,1021.7583,5.0,4840.0, , , , , 
1543543361547,10,2,41,0,-0.58418524;2.8060043;7.029376,-0.1415811;-0.65383524;0.45814893,-18.5;3.125;-46.4375,1021.7583,5.0,4840.0, , , , , 
1543543361558,10,2,41,0,-1.4748282;3.3327289;4.903325,-0.12325515;-0.20546016;0.31887165,-19.9375;3.125;-47.1875,1021.7583,5.0,4840.0, , , , , 
1543543361568,10,2,41,0,-1.1492168;2.6144683;6.4164605,-0.1366942;0.41149628;0.24923302,-19.1875;1.625;-47.1875,1021.7583,5.0,4840.0, , , , , 
1543543361578,10,2,41,0,-0.8714894;2.0398598;6.9623384,-0.15746361;0.54955184;0.14660765,-19.1875;1.625;-46.4375,1021.7583,5.0,4840.0, , , , , 
1543543361589,10,2,41,0,-0.7086837;2.6623523;7.326257,-0.18800686;0.43715262;0.095294975,-19.1875;3.125;-46.4375,1021.7583,5.0,5919.0, , , , , 
1543543361598,10,2,41,0,-0.5554548;2.9783869;7.393295,-0.20511109;0.32108822;0.15271631,-18.5;3.875;-45.6875,1021.7583,5.0,5919.0, , , , , 
1543543361608,10,2,41,0,-0.23942018;4.1659107;6.789956,-0.25153685;0.08529424;0.4361578,-19.1875;2.375;-47.1875,1021.7583,5.0,5919.0, , , , , 
1543543361618,10,2,41,0,0.05746084;4.903325;5.9567738,-0.28452358;0.10239847;0.87720245,-17.875;5.3125;-47.1875,1021.7583,5.0,5919.0, , , , , 
1543543361628,10,2,41,0,0.39264908;5.161899;5.497087,-0.26741934;0.30520573;1.1301007,-19.1875;3.125;-46.4375,1021.7583,5.0,5919.0, , , , , 
