time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543544172631,10,16,12,0,0.7086837;3.217807;10.007763,-0.12814207;-0.00143117;0.5656612,32.375;-6.3125;-54.3125,1021.73,5.0,14244.0, , , , , 
1543544172641,10,16,12,0,-0.8331822;4.2042184;8.916007,-0.12814207;-0.00143117;0.5656612,35.0625;1.8125;-44.6875,1021.73,5.0,11916.0, , , , , 
1543544172650,10,16,12,0,-0.78529817;4.185065;8.983045,-0.12814207;-0.00143117;0.5656612,33.625;3.3125;-46.1875,1021.73,5.0,11916.0, , , ,28 4c:fa:ca:f8:ee:51;-85 00:21:26:f0:d2:dc;-78 00:34:cb:54:cc:c5;-81 e6:f4:c6:03:17:53;-88 e4:f4:c6:03:17:52;-88 0c:4b:54:d5:57:f8;-82 00:34:cb:64:29:71;-87 00:34:cb:54:cc:33;-88 00:34:cb:54:cc:2f;-85 08:9b:4b:9b:8a:8b;-87 00:34:cb:64:2a:a7;-66 00:34:cb:64:2a:a6;-64 00:34:cb:68:e5:37;-62 38:22:d6:d9:4d:90;-57 38:22:d6:d9:4d:92;-56 a4:93:3f:3a:ef:44;-54 44:d1:fa:59:03:84;-75 94:d9:b3:7c:1d:e3;-70 00:21:26:0f:d2:dc;-70 38:22:d6:d9:7b:70;-63 8a:25:93:d4:c9:7f;-65 88:25:93:87:f1:aa;-51 38:22:d6:d9:7b:72;-58 58:66:ba:76:a5:51;-73 fe:ff:ff:c0:00:00;-74 d0:76:e7:3d:91:97;-62 00:34:cb:68:d7:91;-64 fe:ff:ff:c0:01:00;-65, 
1543544172660,10,16,12,0,-0.7661445;4.1371803;8.868123,-0.12814207;-0.00143117;0.5656612,34.375;1.8125;-46.9375,1021.73,5.0,11916.0, , , , ,0
1543544172670,10,16,12,0,-0.7469909;4.2042184;8.724471,-0.12814207;-0.00143117;0.5656612,33.625;2.5625;-46.1875,1021.73,5.0,11916.0, , , , , 
1543544172680,10,16,12,0,-0.51714754;4.1946416;8.24563,-0.12814207;-0.00143117;0.5656612,32.9375;1.875;-45.4375,1021.73,5.0,11916.0, , , , , 
1543544172690,10,16,12,0,-0.4213795;4.060566;8.082825,-0.12814207;-0.00143117;0.5656612,35.0625;1.8125;-46.9375,1021.73,5.0,11916.0, , , , , 
1543544172700,10,16,12,0,-0.32561144;4.2425256;8.101978,-0.12814207;-0.00143117;0.5656612,34.3125;2.5625;-46.1875,1021.73,5.0,11916.0, , , , , 
1543544172710,10,16,12,0,-0.4213795;4.2425256;7.6231384,-0.12814207;-0.00143117;0.5656612,34.375;1.8125;-46.9375,1021.73,5.0,11916.0, , , , , 
1543544172720,10,16,12,0,-0.41180268;4.2521024;7.6710224,-0.12814207;-0.00143117;0.5656612,35.0625;1.8125;-45.4375,1021.73,5.0,11916.0, , , , , 
